Set,Model,Accuracy,Avg Sensitivity,Max Sensitivity,SensitivityN,Faithfulness Correlation,Sparseness,Complexity,Effective Complexity,MPRT,eMPRT
5,resnet,77.1,2.3607243814170364,2.3630453169345857,0.0128161506727337,0.0143029679944447,0.6884155151568477,11.503113963603973,198443525,1.56473513110637e-06,-1.001033756640786e-07
5,resnet,80.7,2.463280082374811,2.46582404628396,0.0234366506338119,0.0357886652546949,0.7119865531760964,11.409040174484254,188095.2225,-2.252726120341781e-06,1.8952079113745789e-07
5,vgg,12.47,1.0632716060578824,1.0643404830247165,0.2479025572538375,0.017139577122507,0.4351145314932311,12.022140033245089,213232.6825,-2.5195281645674016e-05,-5.050254426057779e-08
5,vgg,23.6,2.589042951583862,2.5913110546767717,0.0896068215370178,0.0249772116342501,0.6572406472165866,11.34078361272812,149145.52,7.121698559699126e-06,9.175300078758816e-08
5,vgg,34.8,3.5130081531107424,3.5165006160736083,0.0567271299660205,0.030355812688067,0.7628851544939149,10.92757927775383,114468.07,-1.2158224656355926e-05,8.323632207346438e-08
5,vgg,42.7,4.328939787626266,4.332830544114113,0.0860928744077682,0.0215714400840806,0.8017190546511219,10.695247541666031,100327.4825,1.6244621376533807e-05,-2.817229128620874e-07
5,vgg,48.5,5.193335075080395,5.197707890272141,0.0173971839249134,0.0432016838261188,0.8209443275369588,10.423745254278185,88233.9025,7.796758744779794e-06,6.651863722236295e-08
5,vgg,57.45,6.431392830431462,6.437318216264248,-0.0692467540502548,0.0322449144421261,0.8229445363989746,10.081434628963471,80007.3275,1.6595781740448738e-05,4.101420195422658e-08
5,vgg,62.0,6.835106676310302,6.841169802248478,-0.0561636798083782,0.016143355969034,0.792480539861598,10.055910267829894,87740475,-2.0248086231653704e-05,4.164944737331497e-07
5,vgg,68.0,7.610072877854109,7.616573024690151,-0.0415071956813335,0.0186289657854649,0.8170419712100516,9.795451709032058,76837.79,6.294238562380827e-07,-2.131331492623447e-07
5,vgg,72.2,6.581833591878414,6.587356130033731,-0.197649672627449,0.018017594248522,0.7038261254255366,10.211643731594084,114266.68,-8.33228572331117e-06,-5.459757484016968e-08
5,vgg,80.3,5.11696307182312,5.121525681316853,0.0689088031649589,0.001883797924529,0.612440455112716,10.677628524303437,144825.1975,-9.305766872555516e-06,-1.6324801697487546e-07
6,convnext,17.9,1.3427003447711467,1.3442109258472918,0.1914437711238861,-0.0070281557940688,0.5439593567601732,11.92002503156662,214972.16,7.622939598609446e-06,-2.0362057761959726e-07
6,convnext,29.1,1.2547151370346543,1.2560592204332353,0.0110580688342452,0.0017244212524383,0.5036511989181371,12.009456355571746,227157535,6.227920723583182e-06,-3.7759285705230046e-08
6,convnext,41.1,1.357111543715,1.3585066051781178,-0.1384559422731399,-0.0016552655777195,0.542764940378028,11.928120188713072,216243.3875,1.2527658230502268e-06,-6.719699421413347e-08
6,convnext,49.7,1.4568489314317703,1.4583777125179769,-0.0148950349539518,0.0110800586625555,0.5713725800044664,11.865859968662262,208118.9125,6.534152963832757e-06,-1.6340486641704685e-07
6,convnext,57.2,1.3876804479658602,1.3891223211586476,-0.0909372717142105,0.0051321388047654,0.543673756780737,11.911938109397887,214737.6175,2.847848130884772e-07,-2.49836802228992e-08
6,convnext,65.9,1.33343120354414,1.3349178177118302,-0.0732949748635292,0.0050435557198943,0.5078406966195927,11.953343424797058,220008.4475,1.8420020251813745e-06,2.797544926206644e-07
6,convnext,68.5,1.2983727663755418,1.299755578637123,0.1807771921157837,-0.0004234206816181,0.4925403823097881,11.94967580795288,217001.02,8.63756501946737e-06,3.5356426706798635e-08
6,convnext,71.6,1.3078791417479516,1.3092960657179356,-0.0458715297281742,-0.0056501029367791,0.4955034821871475,11.933340556621552,214772695,-1.0085331882328096e-06,-1.4037503184985734e-07
6,convnext,74.9,1.41858951818943,1.4200745463371276,-0.130155324935913,-0.0006748894656084,0.496289832310801,11.881493570804595,212714.94,-8.334740221403866e-06,-1.4124936414275853e-07
6,convnext,80.7,2.1764283210039137,2.178505080789328,0.12837515771389,-0.0067220172531233,0.7058569174949457,11.270032665729524,139614.84,8.795611803443635e-06,6.5203761662100126e-09
6,resnet,28.2,1.256063327729702,1.2575173364579677,0.1711334139108657,0.0097017473436426,0.4899280629461505,12.006057245731354,230480245,-4.477831839365561e-06,4.837829211072518e-09
6,resnet,44.8,1.5911630631387232,1.592766986489296,0.1465281993150711,0.0121801292944292,0.572142398838897,11.840483570098876,218353.8425,9.232481858677294e-06,1.776596495684287e-08
6,resnet,54.0,1.835836455821991,1.8377758193016047,0.1309069544076919,-0.0036510398166137,0.611667389691201,11.745436947345734,212976.3475,-4.022556549222027e-06,-1.6078516727091758e-07
6,resnet,60.9,1.981718732833862,1.9836405688524248,0.0235077086836099,0.0164731584285618,0.6390581919281615,11.67740927696228,210023.32,-4.904590298092157e-06,6.586059298034734e-08
6,resnet,66.3,2.0548532212674617,2.056770993322134,-0.103238470852375,0.0155635659227118,0.6416499004994074,11.658531715869904,208218.78,-7.492381722393144e-07,-7.024683115577705e-08
6,resnet,70.8,2.1881038869619367,2.1903153413534167,-0.1811846643686294,0.0128776027128333,0.6667331937720569,11.58678905248642,203546645,-2.828163454984543e-06,2.7970668536840724e-07
6,resnet,74.3,2.274816735118628,2.2770542004704475,-0.0783471539616584,0.005708720558614,0.6816126825824973,11.535783762931825,197389305,-8.179171465571741e-06,-5.3543174593687806e-09
6,resnet,75.8,2.3560826848447323,2.35843448638916,-0.1078803092241287,0.0173712472314218,0.6956778120700521,11.490036718845367,196588.7375,-5.700140372140847e-06,-2.6757471232602825e-08
6,resnet,77.6,2.405880372494459,2.4081208831071854,-0.3120946884155273,0.0201987418020144,0.7083983378500031,11.438156130313873,189865775,-3.189534386428312e-06,-4.121128393178047e-08
